Site,Label,Province,LatPrecision,LonPrecision,AdjustedLat,AdjustedLon,PleiadesLat,PleiadesLon
urn:cite:rage:ptolgeo.pt-ll-620,Setia (Î£á½³Ï„Î¹Î±),tarraconensis,1/4,2/3,40.464285714375,-3.4521428602772817313671112060546875,-1.1371150000000001,42.129367000000002
urn:cite:rage:ptolgeo.pt-ll-621,AlauÅna (á¼ˆÎ»Î±Ï…á¿¶Î½Î±),tarraconensis,11/12,2/3,40.225714291929563462734222412109375,-3.4521428602772817313671112060546875,-1.121939,41.770383000000002
urn:cite:rage:ptolgeo.pt-ll-622,Kelsa (Îšá½³Î»ÏƒÎ±),tarraconensis,3/4,0,40.821428571525,-2.50000000005,-0.43785299999999999,41.374996000000003
urn:cite:rage:ptolgeo.pt-ll-623,Bergidon (Î’á½³ÏÎ³Î¹Î´Î¿Î½),tarraconensis,1/2,1/2,40.64285714295,-2.85714285720,-6.725657,42.599818999999997
urn:cite:rage:ptolgeo.pt-ll-624,Eraga (á¼˜Ïá½±Î³Î±),tarraconensis,1/2,1/6,40.64285714295,-2.3807142888272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-625,SoukkÅsa (Î£Î¿Ï…ÎºÎºá¿¶ÏƒÎ±),tarraconensis,1/2,1/6,40.64285714295,-3.0950000031272817313671112060546875,,
urn:cite:rage:ptolgeo.pt-ll-626,Oska (á½ŒÏƒÎºÎ±),tarraconensis,1/6,0,40.4049999970227182686328887939453125,-2.50000000005,-0.40570400000000001,42.138883999999997
urn:cite:rage:ptolgeo.pt-ll-627,Gallika Phlaouia (Î“á½±Î»Î»Î¹ÎºÎ± Î¦Î»Î±Î¿Ï…á¿“Î±),tarraconensis,2/3,1/2,40.0478571398727182686328887939453125,-2.85714285720,0.34893099999999999,41.522438000000001
urn:cite:rage:ptolgeo.pt-ll-628,ÅŒrgia (á½¬ÏÎ³Î¹Î±),tarraconensis,1/2,0,39.92857142865,-3.21428571435,1.443316,42.356017000000001
urn:cite:rage:ptolgeo.pt-ll-629,Ilerda (á¼¸Î»á½³ÏÎ´Î±),tarraconensis,5/12,7/12,39.868571434779563462734222412109375,-2.7978571398477182686328887939453125,0.62608600000000003,41.617789000000002
